name,picIDs,categoryName,typeName,period
C1B000992,C1B000992N000000000PAB,瓷器,指,清
C1B000998,C1B000998N000000000PAB,瓷器,指,清
C1B001076,C1B001076N000000000PAB,瓷器,指,清
C1B001100,C1B001100N000000000PAB,瓷器,瓶,NA
C1B001105,C1B001105N000000000PAB,瓷器,罐,NA
C1B001109,C1B001109N000000000PAB,瓷器,瓶,NA
C1B001153,C1B001153N000000000PAB,瓷器,瓶,清
C1B001158,C1B001158N000000000PAB,瓷器,瓶,清
C1B001173,C1B001173N000000000PAB,瓷器,瓶,清
C1B001186,C1B001186N000000000PAB,瓷器,瓶,清
C1B001192,C1B001192N000000000PAB,瓷器,盆,清
C1B001234,"C1B001234N000000000PAB,C1B001234N000000000PAC,C1B001234N000000000PAD",瓷器,碗,清
C1B001287,"C1B001287N000000000PAB,C1B001287N000000000PAC,C1B001287N000000000PAD,C1B001287N000000000PAE",瓷器,罐,清
C1B001311,C1B001311N000000000PAB,瓷器,瓶,NA
C1B001334,"C1B001334N000000000PAB,C1B001334N000000000PAC,C1B001334N000000000PAD",瓷器,瓶,明
C1B001349,"C1B001349N000000000PAB,C1B001349N000000000PAD",瓷器,罐,清
C1B001365,C1B001365N000000000PAB,瓷器,碗,NA
C1B001404,"C1B001404N000000000PAB,C1B001404N000000000PAC",瓷器,瓶,明
C1B001417,"C1B001417N000000000PAB,C1B001417N000000000PAC,C1B001417N000000000PAD",瓷器,瓶,NA
C1B001444,C1B001444N000000000PAB,瓷器,瓶,清
C1B001487,C1B001487N000000000PAB,瓷器,瓶,清
C1B001522,C1B001522N000000000PAB,瓷器,NA,清
C1B001527,C1B001527N000000000PAB,瓷器,瓶,清
C1B001558,C1B001558N000000000PAB,瓷器,NA,清
C1B001575,"C1B001575N000000000PAB,C1B001575N000000000PAE",瓷器,瓶,明
C1B001605,C1B001605N000000000PAB,瓷器,瓶,清
C1B001714,C1B001714N000000000PAB,瓷器,筒,清
C1B001771,C1B001771N000000000PAB,瓷器,NA,清
C1B001773,C1B001773N000000000PAB,瓷器,NA,清
C1B001782,C1B001782N000000000PAB,瓷器,NA,清
C1B001839,C1B001839N000000000PAB,瓷器,盒,清
C1B001862,C1B001862N000000000PAB,瓷器,NA,清
C1B001884,C1B001884N000000000PAB,瓷器,罐,清
C1B001910,C1B001910N000000000PAB,瓷器,瓶,NA
C1B001946,C1B001946N000000000PAB,瓷器,瓶,清
C1B001957,"C1B001957N000000000PAB,C1B001957N000000000PAC",瓷器,壺,明
C1B002008,C1B002008N000000000PAB,瓷器,NA,清
C1B002062,C1B002062N000000000PAB,瓷器,NA,清
C1B002075,C1B002075N000000000PAB,瓷器,NA,清
C1B002112,C1B002112N000000000PAB,瓷器,NA,清
C1B002129,C1B002129N000000000PAB,瓷器,NA,清
C1B002138,C1B002138N000000000PAB,瓷器,NA,清
C1B002141,C1B002141N000000000PAB,瓷器,NA,清
C1B002143,C1B002143N000000000PAB,瓷器,NA,清
C1B002171,C1B002171N000000000PAB,瓷器,NA,清
C1B002269,C1B002269N000000000PAB,瓷器,瓶,清
C1B002278,C1B002278N000000000PAB,瓷器,NA,明
C1B002280,C1B002280N000000000PAB,瓷器,瓶,清
C1B002387,C1B002387N000000000PAB,瓷器,壺,清
C1B002432,C1B002432N000000000PAB,瓷器,NA,清
C1B002513,C1B002513N000000000PAB,瓷器,壺,清
C1B002577,C1B002577N000000000PAB,瓷器,碗,NA
C1B002604,"C1B002604N000000000PAB,C1B002604N000000000PAF",瓷器,洗,明
C1B002633,C1B002633N000000000PAB,瓷器,瓶,元
C1B002648,C1B002648N000000000PAB,瓷器,洗,宋
C1B002649,C1B002649N000000000PAB,瓷器,碗,NA
C1B002672,C1B002672N000000000PAE,瓷器,NA,明
C1B002673,C1B002673N000000000PAB,瓷器,瓶,清
C1B002681,C1B002681N000000000PAB,瓷器,NA,清
C1B002693,C1B002693N000000000PAB,瓷器,NA,清
C1B002736,C1B002736N000000000PAB,瓷器,NA,清
C1B002744,C1B002744N000000000PAB,瓷器,NA,清
C1B002782,C1B002782N000000000PAB,瓷器,NA,清
C1B002785,C1B002785N000000000PAB,瓷器,NA,清
C1B002823,C1B002823N000000000PAB,瓷器,NA,清
C1B002874,C1B002874N000000000PAB,瓷器,碗,明
C1B002901,C1B002901N000000000AA,瓷器,瓶,清
C1B002913,C1B002913N000000000PAB,瓷器,壺,清
C1B002918,"C1B002918N000000000PAB,C1B002918N000000000PAD",瓷器,瓶,清
C1B002919,"C1B002919N000000000PAB,C1B002919N000000000PAD",瓷器,瓶,清
C1B002968,C1B002968N000000000PAB,瓷器,瓶,清
C1B003050,C1B003050N000000000PAB,瓷器,NA,清
C1B003057,C1B003057N000000000PAB,瓷器,瓶,清
C1B003110,C1B003110N000000000PAB,瓷器,瓶,NA
C1B003121,C1B003121N000000000PAB,瓷器,NA,清
C1B003123,"C1B003123N000000000PAB,C1B003123N000000000PAE",瓷器,罐,明
C1B003188,"C1B003188N000000000PAB,C1B003188N000000000PAD",瓷器,碗,明
C1B003190,C1B003190N000000000PAB,瓷器,爐,元
C1B003191,C1B003191N000000000PAB,瓷器,尊,NA
C1B003198,C1B003198N000000000PAB,瓷器,NA,清
C1B003279,C1B003279N000000000PAB,瓷器,瓶,清
C1B003314,"C1B003314N000000000PAB,C1B003314N000000000PAC,C1B003314N000000000PAD",瓷器,罐,NA
C1B003318,"C1B003318N000000000PAB,C1B003318N000000000PAC",瓷器,壺,清
C1B003321,C1B003321N000000000PAB,瓷器,盤,宋
C1B003333,C1B003333N000000000PAB,瓷器,NA,清
C1B003338,C1B003338N000000000PAB,瓷器,瓶,NA
C1B003344,C1B003344N000000000PAB,瓷器,罐,清
C1B003345,C1B003345N000000000PAB,瓷器,罐,清
C1B003350,C1B003350N000000000PAB,瓷器,壺,清
C1B003388,"C1B003388N000000000PAC,C1B003388N000000000PAD",瓷器,瓶,NA
C1B003412,C1B003412N000000000PAB,瓷器,碗,宋
C1B003418,C1B003418N000000000PAD,瓷器,NA,清
C1B003438,C1B003438N000000000PAB,瓷器,罐,清
C1B003458,C1B003458N000000000PAB,瓷器,瓶,清
C1B003486,"C1B003486N000000000PAB,C1B003486N000000000PAC",瓷器,壺,明
C1B003513,C1B003513N000000000PAB,瓷器,盆,清
C1B003519,C1B003519N000000000PAB,瓷器,盤,清
C1B003539,C1B003539N000000000PAB,瓷器,盆,清
C1B003543,C1B003543N000000000PAB,瓷器,NA,清
C1B003584,C1B003584N000000000PAB,瓷器,碗,清
C1B003676,C1B003676N000000000PAB,瓷器,NA,清
C1B003684,C1B003684N000000000PAB,瓷器,NA,清
C1B003702,C1B003702N000000000PAB,瓷器,碗,清
C1B003718,C1B003718N000000000PAB,瓷器,碗,清
C1B003720,C1B003720N000000000PAB,瓷器,NA,清
C1B003724,C1B003724N000000000PAB,瓷器,碗,清
C1B003736,C1B003736N000000000PAB,瓷器,碗,清
C1B003737,C1B003737N000000000PAB,瓷器,碗,清
C1B003787,C1B003787N000000000PAB,瓷器,盤,宋
C1B003836,C1B003836N000000000PAB,瓷器,NA,清
C1B003868,C1B003868N000000000PAB,瓷器,瓶,NA
C1B003881,C1B003881N000000000PAB,瓷器,爐,清
C1B003883,C1B003883N000000000PAB,瓷器,瓶,清
C1B003902,"C1B003902N000000000PAB,C1B003902N000000000PAH",瓷器,洗,清
C1B003929,"C1B003929N000000000PAC,C1B003929N000000000PAD",瓷器,NA,清
C1B003944,C1B003944N000000000PAB,瓷器,罐,清
C1B004012,"C1B004012N000000000PAB,C1B004012N000000000PAC,C1B004012N000000000PAE",瓷器,壺,唐
C1B004024,C1B004024N000000000PAB,瓷器,瓶,清
C1B004108,C1B004108N000000000PAB,瓷器,NA,清
C1B004204,C1B004204N000000000PAB,瓷器,筒,清
C1B004219,C1B004219N000000000PAB,瓷器,筒,清
C1B004241,C1B004241N000000000PAB,瓷器,筒,清
C1B004255,C1B004255N000000000PAB,瓷器,筒,清
C1B004256,C1B004256N000000000PAB,瓷器,筒,清
C1B004288,C1B004288N000000000PAB,瓷器,筒,清
C1B004300,C1B004300N000000000PAB,瓷器,筒,清
C1B004361,C1B004361N000000000PAB,瓷器,指,清
C1B004421,C1B004421N000000000PAB,瓷器,盒,清
C1B004497,C1B004497N000000000PAB,瓷器,NA,清
C1B004532,C1B004532N000000000PAB,瓷器,瓶,清
C1B004581,C1B004581N000000000PAB,瓷器,瓶,清
C1B004585,C1B004585N000000000PAB,瓷器,瓶,清
C1B004596,C1B004596N000000000PAB,瓷器,罐,清
C1B004598,C1B004598N000000000PAB,瓷器,罐,清
C1B004616,"C1B004616N000000000PAB,C1B004616N000000000PAD",瓷器,洗,清
C1B004633,C1B004633N000000000PAB,瓷器,瓶,清
C1B004635,C1B004635N000000000PAB,瓷器,罐,清
C1B004639,C1B004639N000000000PAB,瓷器,罐,清
C1B004715,C1B004715N000000000PAB,瓷器,罐,清
C1B004737,C1B004737N000000000PAB,瓷器,瓶,宋
C1B004757,C1B004757N000000000PAB,瓷器,盤,元
C1B004758,C1B004758N000000000PAB,瓷器,碗,NA
C1B004767,"C1B004767N000000000PAB,C1B004767N000000000PAC",瓷器,尊,NA
C1B004800,C1B004800N000000000PAB,瓷器,筒,清
C1B004836,C1B004836N000000000PAB,瓷器,筒,清
C1B004858,C1B004858N000000000PAB,瓷器,筒,清
C1B004869,C1B004869N000000000PAB,瓷器,筒,清
C1B004873,C1B004873N000000000PAB,瓷器,筒,清
C1B004883,C1B004883N000000000PAB,瓷器,筒,清
C1B004895,C1B004895N000000000PAB,瓷器,筒,清
C1B004900,C1B004900N000000000PAB,瓷器,筒,清
C1B004923,C1B004923N000000000PAB,瓷器,筒,清
C1B004928,C1B004928N000000000PAB,瓷器,筒,清
C1B004935,C1B004935N000000000PAB,瓷器,罐,清
C1B004964,C1B004964N000000000PAB,瓷器,NA,清
C1B004984,C1B004984N000000000PAB,瓷器,NA,清
C1B005014,C1B005014N000000000PAB,瓷器,洗,清
C1B005017,C1B005017N000000000PAB,瓷器,洗,清
C1B005030,C1B005030N000000000PAB,瓷器,洗,清
C1B005050,C1B005050N000000000PAB,瓷器,洗,宋
C1B005052,C1B005052N000000000AA,瓷器,NA,宋
C1B005112,"C1B005112N000000000PAB,C1B005112N000000000PAC,C1B005112N000000000PAD",瓷器,壺,清
C1B005116,C1B005116N000000000PAB,瓷器,罐,清
C1B005131,C1B005131N000000000PAB,瓷器,罐,清
C1B005167,C1B005167N000000000PAB,瓷器,筒,清
C1B005179,C1B005179N000000000PAB,瓷器,筒,清
C1B005180,C1B005180N000000000PAB,瓷器,筒,清
C1B005195,C1B005195N000000000PAB,瓷器,筒,清
C1B005201,C1B005201N000000000PAB,瓷器,筒,清
C1B005204,C1B005204N000000000PAB,瓷器,筒,清
C1B005208,C1B005208N000000000PAB,瓷器,筒,清
C1B005218,C1B005218N000000000PAB,瓷器,筒,清
C1B005235,C1B005235N000000000PAB,瓷器,筒,清
C1B005247,C1B005247N000000000PAB,瓷器,筒,清
C1B005257,C1B005257N000000000PAB,瓷器,筒,清
C1B005261,"C1B005261N000000000PAB,C1B005261N000000000PAD,C1B005261N000000000PAE",瓷器,壺,清
C1B005266,C1B005266N000000000PAB,瓷器,NA,清
C1B005376,C1B005376N000000000PAB,瓷器,碗,清
C1B005393,C1B005393N000000000PAB,瓷器,瓶,清
C1B005403,C1B005403N000000000PAB,瓷器,瓶,清
C1B005439,C1B005439N000000000PAB,瓷器,壺,清
C1B005493,"C1B005493N000000000PAB,C1B005493N000000000PAC,C1B005493N000000000PAD",瓷器,罐,清
C1B005496,"C1B005496N000000000PAB,C1B005496N000000000PAC,C1B005496N000000000PAD",瓷器,罐,清
C1B005505,C1B005505N000000000PAB,瓷器,NA,清
C1B005539,C1B005539N000000000PAB,瓷器,盤,宋
J1B000005,J1B000005N000000000PAB,瓷器,尊,NA
K1B000001,"K1B000001N000000000PAB,K1B000001N000000000PAC,K1B000001N000000000PAD",瓷器,碟,NA
K1B000003,"K1B000003N000000000PAB,K1B000003N000000000PAC,K1B000003N000000000PAD",瓷器,碟,NA
K1B000004,"K1B000004N000000000PAB,K1B000004N000000000PAD,K1B000004N000000000PAE",瓷器,碟,NA
K1B000007,"K1B000007N000000000PAB,K1B000007N000000000PAC,K1B000007N000000000PAD",瓷器,碟,NA
K1B000008,"K1B000008N000000000PAB,K1B000008N000000000PAC",瓷器,碟,NA
K1B000010,"K1B000010N000000000PAB,K1B000010N000000000PAC",瓷器,碟,NA
K1B000011,"K1B000011N000000000PAB,K1B000011N000000000PAC",瓷器,碟,NA
K1B000012,"K1B000012N000000000PAB,K1B000012N000000000PAC",瓷器,碟,NA
K1B000013,"K1B000013N000000000PAB,K1B000013N000000000PAC",瓷器,碟,NA
K1B000014,"K1B000014N000000000PAB,K1B000014N000000000PAC",瓷器,碟,NA
K1B000016,K1B000016N000000000PAB,瓷器,碟,NA
K1B000017,"K1B000017N000000000PAB,K1B000017N000000000PAC",瓷器,碟,NA
K1B000018,"K1B000018N000000000PAB,K1B000018N000000000PAC",瓷器,碟,NA
K1B000019,"K1B000019N000000000PAB,K1B000019N000000000PAC",瓷器,碟,NA
K1B000020,"K1B000020N000000000PAB,K1B000020N000000000PAC",瓷器,碟,NA
K1B000021,"K1B000021N000000000PAB,K1B000021N000000000PAC,K1B000021N000000000PAD",瓷器,碗,NA
K1B000022,"K1B000022N000000000PAB,K1B000022N000000000PAC,K1B000022N000000000PAD",瓷器,碗,NA
K1B000023,"K1B000023N000000000PAB,K1B000023N000000000PAC,K1B000023N000000000PAD",瓷器,碗,NA
K1B000024,"K1B000024N000000000PAB,K1B000024N000000000PAD,K1B000024N000000000PAE",瓷器,碗,宋
K1B000030,"K1B000030N000000000PAB,K1B000030N000000000PAC",瓷器,碗,NA
K1B000031,"K1B000031N000000000PAB,K1B000031N000000000PAC,K1B000031N000000000PAD",瓷器,碗,NA
K1B000035,"K1B000035N000000000PAB,K1B000035N000000000PAC",瓷器,碗,NA
K1B000040,"K1B000040N000000000PAB,K1B000040N000000000PAC,K1B000040N000000000PAD",瓷器,瓶,明
K1B000042,"K1B000042N000000000PAB,K1B000042N000000000PAC,K1B000042N000000000PAD",瓷器,NA,明
K1B000043,"K1B000043N000000000PAB,K1B000043N000000000PAC,K1B000043N000000000PAE",瓷器,碗,NA
K1B000048,"K1B000048N000000000PAB,K1B000048N000000000PAC,K1B000048N000000000PAD",瓷器,托,明
K1B000217,K1B000217N000000000PAB,瓷器,盆,NA
K1B000474,"K1B000474N000000000PAB,K1B000474N000000000PAC,K1B000474N000000000PAD",瓷器,盤,明
K1B000475,"K1B000475N000000000PAB,K1B000475N000000000PAC,K1B000475N000000000PAD",瓷器,盤,明
K1B000672,K1B000672N000000000PAB,瓷器,盆,清
K1B000985,"K1B000985N000000000PAB,K1B000985N000000000PAC,K1B000985N000000000PAD",瓷器,瓶,清
K1B001003,"K1B001003N000000000PAB,K1B001003N000000000PAC,K1B001003N000000000PAE",瓷器,碗,明
K1B001106,"K1B001106N000000000PAB,K1B001106N000000000PAE,K1B001106N000000000PAF",瓷器,盆,清
K1B001160,"K1B001160N000000000PAB,K1B001160N000000000PAE,K1B001160N000000000PAF",瓷器,NA,明
K1B001257,"K1B001257N000000000PAB,K1B001257N000000000PAD,K1B001257N000000000PAE",瓷器,盆,清
K1B001261,"K1B001261N000000000PAB,K1B001261N000000000PAD,K1B001261N000000000PAE",瓷器,盆,清
K1B001290,"K1B001290N000000000PAB,K1B001290N000000000PAD,K1B001290N000000000PAE",瓷器,托,清
K1B001596,"K1B001596N000000000PAB,K1B001596N000000000PAC,K1B001596N000000000PAG",瓷器,瓶,NA
K1B001680,K1B001680N000000000PAB,瓷器,盆,NA
K1B001683,K1B001683N000000000PAB,瓷器,盆,清
K1B001823,"K1B001823N000000000PAB,K1B001823N000000000PAF",瓷器,盤,明
K1B002082,K1B002082N000000000PAB,瓷器,盆,NA
K1B002085,K1B002085N000000000PAB,瓷器,盆,NA
K1B002087,K1B002087N000000000PAB,瓷器,盆,NA
K1B002494,K1B002494N000000000PAD,瓷器,盤,清
K1B002495,"K1B002495N000000000PAB,K1B002495N000000000PAC,K1B002495N000000000PAD",瓷器,盤,清
K1B002496,"K1B002496N000000000PAB,K1B002496N000000000PAD",瓷器,盤,清
K1B002499,"K1B002499N000000000PAB,K1B002499N000000000PAC",瓷器,洗,NA
K1B002500,"K1B002500N000000000PAB,K1B002500N000000000PAC,K1B002500N000000000PAD",瓷器,碟,NA
K1B002501,"K1B002501N000000000PAB,K1B002501N000000000PAC,K1B002501N000000000PAD",瓷器,碗,NA
K1B002502,"K1B002502N000000000PAB,K1B002502N000000000PAC,K1B002502N000000000PAD",瓷器,杯,唐
K1B002504,"K1B002504N000000000PAB,K1B002504N000000000PAC,K1B002504N000000000PAD",瓷器,洗,NA
K1B002532,"K1B002532N000000000PAC,K1B002532N000000000PAD,K1B002532N000000000PAI",瓷器,盆,清
K1B002566,"K1B002566N000000000PAB,K1B002566N000000000PAD,K1B002566N000000000PAE",瓷器,碗,明
K1B002567,"K1B002567N000000000PAB,K1B002567N000000000PAD,K1B002567N000000000PAE",瓷器,碗,明
K1B002568,"K1B002568N000000000PAB,K1B002568N000000000PAD,K1B002568N000000000PAE",瓷器,碗,明
K1B002569,"K1B002569N000000000PAB,K1B002569N000000000PAD,K1B002569N000000000PAE",瓷器,盤,明
K1B002570,"K1B002570N000000000PAB,K1B002570N000000000PAD,K1B002570N000000000PAE",瓷器,盤,明
K1B002571,"K1B002571N000000000PAB,K1B002571N000000000PAD,K1B002571N000000000PAE",瓷器,碗,明
K1B002572,"K1B002572N000000000PAB,K1B002572N000000000PAD,K1B002572N000000000PAE",瓷器,碗,明
K1B002573,"K1B002573N000000000PAB,K1B002573N000000000PAD,K1B002573N000000000PAE",瓷器,碗,明
K1B002574,"K1B002574N000000000PAB,K1B002574N000000000PAD,K1B002574N000000000PAE",瓷器,碗,明
K1B002576,"K1B002576N000000000PAC,K1B002576N000000000PAD,K1B002576N000000000PAE",瓷器,盤,明
K1B002577,"K1B002577N000000000PAB,K1B002577N000000000PAD,K1B002577N000000000PAE",瓷器,盤,明
K1B002578,"K1B002578N000000000PAC,K1B002578N000000000PAD,K1B002578N000000000PAE",瓷器,盤,明
K1B002579,"K1B002579N000000000PAB,K1B002579N000000000PAD,K1B002579N000000000PAE",瓷器,盤,明
K1B002580,"K1B002580N000000000PAB,K1B002580N000000000PAD,K1B002580N000000000PAE",瓷器,盤,明
K1B002581,"K1B002581N000000000PAB,K1B002581N000000000PAD,K1B002581N000000000PAE",瓷器,盤,明
K1B002582,"K1B002582N000000000PAB,K1B002582N000000000PAD,K1B002582N000000000PAE",瓷器,盤,明
K1B002591,"K1B002591N000000000PAB,K1B002591N000000000PAD,K1B002591N000000000PAE",瓷器,盤,明
K1B002638,"K1B002638N000000000PAB,K1B002638N000000000PAC,K1B002638N000000000PAD",瓷器,鍾,NA
K1B002699,"K1B002699N000000000PAC,K1B002699N000000000PAD",瓷器,碗,明
K1B002705,"K1B002705N000000000PAB,K1B002705N000000000PAD",瓷器,碗,明
K1B002713,"K1B002713N000000000PAB,K1B002713N000000000PAD,K1B002713N000000000PAE",瓷器,鍾,NA
K1B002714,"K1B002714N000000000PAB,K1B002714N000000000PAD,K1B002714N000000000PAE",瓷器,鍾,NA
K1B002780,"K1B002780N000000000PAE,K1B002780N000000000PAG",瓷器,罐,清
K1B002781,"K1B002781N000000000PAB,K1B002781N000000000PAF,K1B002781N000000000PAG",瓷器,瓶,清
K1B002782,"K1B002782N000000000PAB,K1B002782N000000000PAC,K1B002782N000000000PAD",瓷器,瓶,清
K1B002783,"K1B002783N000000000PAB,K1B002783N000000000PAE,K1B002783N000000000PAF",瓷器,壺,清
K1B002784,"K1B002784N000000000PAB,K1B002784N000000000PAE,K1B002784N000000000PAF",瓷器,壺,清
K1B002785,"K1B002785N000000000PAB,K1B002785N000000000PAC,K1B002785N000000000PAM",瓷器,瓶,清
K1B002786,"K1B002786N000000000PAB,K1B002786N000000000PAF,K1B002786N000000000PAG",瓷器,碗,清
K1B002788,"K1B002788N000000000PAB,K1B002788N000000000PAD",瓷器,瓶,清
K1B002789,"K1B002789N000000000PAB,K1B002789N000000000PAF,K1B002789N000000000PAG",瓷器,瓶,清
K1B002798,"K1B002798N000000000PAB,K1B002798N000000000PAC,K1B002798N000000000PAD",瓷器,碟,明
K1B002816,"K1B002816N000000000PAB,K1B002816N000000000PAC,K1B002816N000000000PAD",瓷器,盤,明
K1B002818,"K1B002818N000000000PAC,K1B002818N000000000PAD,K1B002818N000000000PAH",瓷器,盤,清
K1B002876,"K1B002876N000000000PAF,K1B002876N000000000PAG,K1B002876N000000000PAH",瓷器,盤,明
K1B002908,K1B002908N000000000PAB,瓷器,杯,清
K1B002911,"K1B002911N000000000PAB,K1B002911N000000000PAC,K1B002911N000000000PAD",瓷器,杯,清
K1B002916,"K1B002916N000000000PAB,K1B002916N000000000PAC",瓷器,NA,清
K1B002937,"K1B002937N000000000PAB,K1B002937N000000000PAC",瓷器,杯,清
K1B002940,"K1B002940N000000000PAB,K1B002940N000000000PAC",瓷器,杯,清
K1B002997,"K1B002997N000000000PAB,K1B002997N000000000PAC,K1B002997N000000000PAD",瓷器,洗,明
K1B003021,"K1B003021N000000000PAE,K1B003021N000000000PAF",瓷器,盤,NA
K1B003033,K1B003033N000000000PAB,瓷器,盤,NA
K1B003034,K1B003034N000000000PAB,瓷器,盤,NA
K1B003071,"K1B003071N000000000PAB,K1B003071N000000000PAE",瓷器,碗,明
K1B003306,"K1B003306N000000000PAB,K1B003306N000000000PAE,K1B003306N000000000PAF",瓷器,杯,明
K1B003321,"K1B003321N000000000PAB,K1B003321N000000000PAF,K1B003321N000000000PAG",瓷器,盤,明
K1B003334,"K1B003334N000000000PAB,K1B003334N000000000PAC,K1B003334N000000000PAD",瓷器,盤,明
K1B003350,"K1B003350N000000000PAB,K1B003350N000000000PAC",瓷器,鍾,明
K1B003482,"K1B003482N000000000PAB,K1B003482N000000000PAE",瓷器,瓶,明
K1B003486,"K1B003486N000000000PAB,K1B003486N000000000PAI,K1B003486N000000000PAJ",瓷器,尊,NA
K1B003537,"K1B003537N000000000PAB,K1B003537N000000000PAC,K1B003537N000000000PAD",瓷器,杯,明
K1B003545,"K1B003545N000000000PAB,K1B003545N000000000PAC,K1B003545N000000000PAD",瓷器,杯,明
K1B003625,"K1B003625N000000000PAB,K1B003625N000000000PAD,K1B003625N000000000PAE",瓷器,杯,明
K1B003792,"K1B003792N000000000PAD,K1B003792N000000000PAE",瓷器,碗,明
K1B003895,"K1B003895N000000000PAC,K1B003895N000000000PAD",瓷器,碗,明
K1B003896,"K1B003896N000000000PAC,K1B003896N000000000PAD",瓷器,碗,明
K1B003906,"K1B003906N000000000PAC,K1B003906N000000000PAE",瓷器,碗,明
K1B004077,"K1B004077N000000000PAB,K1B004077N000000000PAD,K1B004077N000000000PAE",瓷器,杯,元
K1B004207,"K1B004207N000000000PAC,K1B004207N000000000PAE",瓷器,碗,清
K1B004230,K1B004230N000000000PAB,瓷器,碟,明
K1B004231,K1B004231N000000000PAB,瓷器,碟,明
K1B004242,K1B004242N000000000PAB,瓷器,筒,NA
K1B004371,"K1B004371N000000000PAB,K1B004371N000000000PAC",瓷器,瓶,宋
K1B004372,K1B004372N000000000PAB,瓷器,瓶,宋
K1B004419,"K1B004419N000000000PAB,K1B004419N000000000PAD",瓷器,碗,明
K1B004435,"K1B004435N000000000PAB,K1B004435N000000000PAD",瓷器,碗,明
K1B004443,"K1B004443N000000000PAB,K1B004443N000000000PAC",瓷器,碗,明
K1B004582,"K1B004582N000000000PAB,K1B004582N000000000PAD,K1B004582N000000000PAE",瓷器,洗,NA
K1B004657,"K1B004657N000000000PAB,K1B004657N000000000PAC,K1B004657N000000000PAF",瓷器,盒,清
K1B004667,"K1B004667N000000000PAB,K1B004667N000000000PAC,K1B004667N000000000PAD",瓷器,碗,清
K1B004686,"K1B004686N000000000PAB,K1B004686N000000000PAE,K1B004686N000000000PAF",瓷器,瓶,NA
K1B004918,"K1B004918N000000000PAB,K1B004918N000000000PAC,K1B004918N000000000PAD",瓷器,瓶,NA
K1B004919,"K1B004919N000000000PAB,K1B004919N000000000PAC,K1B004919N000000000PAD",瓷器,瓶,明
K1B004922,"K1B004922N000000000PAB,K1B004922N000000000PAC,K1B004922N000000000PAD",瓷器,瓶,NA
K1B004923,"K1B004923N000000000PAC,K1B004923N000000000PAD",瓷器,NA,宋
K1B004927,"K1B004927N000000000PAB,K1B004927N000000000PAC,K1B004927N000000000PAD",瓷器,NA,NA
K1B004930,"K1B004930N000000000PAB,K1B004930N000000000PAC,K1B004930N000000000PAD",瓷器,NA,NA
K1B004931,"K1B004931N000000000PAB,K1B004931N000000000PAC,K1B004931N000000000PAD",瓷器,NA,NA
K1B005042,"K1B005042N000000000PAB,K1B005042N000000000PAF,K1B005042N000000000PAG",瓷器,鍾,明
K1B005069,"K1B005069N000000000PAC,K1B005069N000000000PAH",瓷器,碗,明
